Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Metafield: uhr.referenz [single_line_text_field],Metafield: uhr.baujahr [number_integer],Metafield: uhr.durchmesser [single_line_text_field],Metafield: uhr.gehaeuse [single_line_text_field],Metafield: uhr.zifferblatt [single_line_text_field],Metafield: uhr.band [single_line_text_field],Metafield: uhr.aufzug [single_line_text_field],Metafield: uhr.kaliber [single_line_text_field],Metafield: uhr.zustand [single_line_text_field],Metafield: uhr.lieferumfang [single_line_text_field],Metafield: uhr.geschlecht [single_line_text_field],Metafield: uhr.code [single_line_text_field]
iwc-big-pilot-big-date-150-years-zifferblatt-blau-p5556,IWC Big Pilot Big Date 150 Years Zifferblatt blau,Titel,Einzelstück,HV-P5556,13950.00,IW510503,2019,46 mm,Edelstahl,Blau Emaille Look),Leder,Handaufzug,Handaufzug (8x Tage Gangreserve),Ungetragen,Full Set (Box & Papiere),Herren,HV-5556
iwc-big-pilot-big-date-150-years-zifferblatt-weiss-p5555,IWC Big Pilot Big Date 150 Years Zifferblatt weiß,Titel,Einzelstück,HV-P5555,13950.00,IW510504,2018,46 mm,Edelstahl,Weiß (Emaille Look),Leder,Handaufzug,Handaufzug (8x Tage Gangreserve),Sehr gut,Full Set (Box & Papiere),Herren,HV-5555
breitling-superocean-44-automatik-p1237,Breitling Superocean 44 Automatik,Titel,Einzelstück,HV-P1237,2590.00,A17367D71B1A1,2020,44,Edelstahl,Schwarz,"Edelstahl (starke Gebrauchspuren, siehe Bilder)",Automatik,,Befriedigend,Full Set (Box & Papiere),Herren,HV-1237
panerai-radiomir-handaufzug-47mm-p1218,Panerai Radiomir Handaufzug 47mm,Titel,Einzelstück,HV-P1218,5490.00,PAM00662,2016,47 mm,Edelstahl,Braun,Kautschuk,Handaufzug,P. 3000 Handaufzug,Sehr gut,Full Set (Box & Papiere),Herren,HV-1218
cartier-cle-de-cartier-automatik-40mm-p1157,Cartier Cle de Cartier Automatik 40mm,Titel,Einzelstück,HV-P1157,3690.00,WSCL0018,2019,40 mm,Edelstahl,Silber,Leder,Automatik,,Gut,Full Set (Box & Papiere),Herren,HV-1157
bvlgari-octo-solotempo-automatik-41mm-zifferblatt-schwarz-p1154,Bvlgari Octo Solotempo Automatik 41mm Zifferblatt Schwarz,Titel,Einzelstück,HV-P1154,4690.00,101964,2015,41 mm,Edelstahl,Schwarz,Leder,Automatik,,Gut,Full Set (Box & Papiere),Herren,HV-1154
iwc-ingenieur-chronograph-automatik-42mm-p9012,IWC Ingenieur Chronograph Automatik 42mm,Titel,Einzelstück,HV-P9012,4890.00,IW380701,2016,42 mm,Titan,Silber,Leder,Automatik,,Sehr gut,Nur Papiere,Herren,HV-9012
mb-f-legacy-machine-split-escapement-evo-titan-p462,MB&F Legacy Machine Split Escapement EVO Titan,Titel,Einzelstück,MB-F-LGC-MCH,109900.00,04.TR.LB,2024,44 mm,Titan,Blau,Kautschukband,Handaufzug,,Sehr gut,Full Set (Box & Papiere),Herren,HV-462
rolex-datejust-36-blaues-zifferblatt-jubilee-p458,"Rolex Datejust 36, blaues Zifferblatt, Jubilee",Titel,Einzelstück,RLX-DTJ-36-ZB1,9490.00,126200,2022,36 mm,Edelstahl,Blau,Edelstahl,Automatik,,Ungetragen,Full Set (Box & Papiere),Herren,HV-458
iwc-big-pilot-top-gun-keramik-46-mm-p454,IWC Big Pilot Top Gun Keramik 46 mm,Titel,Einzelstück,IWC-BIG-PLT-TOP,7790.00,IW502001,2017,46 mm,Keramik,Schwarz,Leder,Automatik,,Sehr gut,Full Set (Box & Papiere),Herren,HV-454
iwc-portugieser-handaufzug-p450,IWC Portugieser Handaufzug,Titel,Einzelstück,HV-P450,4190.00,IW545405,,44 mm,Edelstahl,Weiß,Leder,Handaufzug,,Sehr gut,Full Set (Box & Papiere),Herren,HV-450
jaeger-lecoultre-reverso-classic-handaufzug-p446,Jaeger-LeCoultre Reverso Classic Handaufzug,Titel,Einzelstück,JGR-LE-CLT-RVR,6290.00,Q2548520,2019,40.1 mm,Edelstahl,Silber,Leder,Handaufzug,,Gut,Full Set (Box & Papiere),Herren,HV-446
longines-saint-imier-chronograph-41-mm-p441,Longines Saint-Imier Chronograph 41 mm,Titel,Einzelstück,LNG-SNT-MR-CHR,1850.00,L2.752.4.72.6,,41 mm,Edelstahl,Weiß,Edelstahl,Automatik,,Sehr gut,Nur Uhr,Herren,HV-441
breitling-avenger-chronograph-p440,Breitling Avenger Chronograph,Titel,Einzelstück,HV-P440,3390.00,A13385101C1A1,2021,43 mm,Edelstahl,Blau,Edelstahl,Automatik,,Sehr gut,Full Set (Box & Papiere),Herren,HV-440
rolex-oyster-perpetual-34-med-blue-p435,Rolex Oyster Perpetual 34 „Med Blue“,Titel,Einzelstück,RLX-YST-PRP-34,7490.00,124200,2026,34 mm,Edelstahl 904L,Blau,Edelstahl 904L,Automatik,,Ungetragen,Full Set (Box & Papiere),Herren,HV-435
nomos-ludwig-handaufzug-34-mm-p434,Nomos Ludwig Handaufzug 34 mm,Titel,Einzelstück,NMS-LDW-34M-205,1190.00,205,2011,34 mm,Edelstahl,Weiß,Leder (stark gebraucht),Handaufzug,,Sehr gut,Full Set (Box & Papiere),Herren,HV-434
tudor-royal-34-mm-p427,Tudor Royal 34 mm,Titel,Einzelstück,HV-P427,1890.00,28400,2021,34 mm,Edelstahl,Blau,Edelstahl,Automatik,,Gut,Full Set (Box & Papiere),Herren,HV-427
tudor-black-bay-36-stahl-gelbgold-p426,Tudor Black Bay 36 Stahl/Gelbgold,Titel,Einzelstück,TDR-BLC-BAY-36,3390.00,79503,2022,36 mm,Edelstahl/Gelbgold,Schwarz,Edelstahl/Gelbgold,Automatik,,Sehr gut,Full Set (Box & Papiere),Herren,HV-426
iwc-portofino-8-days-blau-p420,IWC Portofino 8 days Blau,Titel,Einzelstück,HV-P420,5190.00,IW510106,2015,45 mm,Edelstahl,Blau,Leder,Handaufzug,,Gut,Full Set (Box & Papiere),Herren,HV-420
breitling-navitimer-b01-chronograph-p415,Breitling Navitimer B01 Chronograph,Titel,Einzelstück,HV-P415,5550.00,AB0121211C1A1,2018,43 mm,Edelstahl,Blau,Edelstahl,Automatik,Automatik (B01 Manufakturwerk),Sehr gut,Full Set (Box & Papiere),Herren,HV-415
tudor-black-bay-heritage-41-rote-luenette-p413,"Tudor Black Bay Heritage 41, rote Lünette",Titel,Einzelstück,XN-TDR-BLC-BAY,2550.00,79230R-0003,,41 mm,Edelstahl,Schwarz,Edelstahl,Automatik,,Sehr gut,Nur Box,Herren,HV-413
breitling-avenger-ii-gmt-p412,Breitling Avenger II GMT,Titel,Einzelstück,BRT-VNG-II-GMT,2250.00,A32390,,43 mm,Edelstahl,Schwarz,Leder,Automatik,,Sehr gut,Nur Box,Herren,HV-412
baume-mercier-hampton-18-k-weissgold-p408,Baume & Mercier Hampton 18 K Weißgold,Titel,Einzelstück,XN-BM-MRC-HMP,3490.00,MV045226,,26 x 40 mm Gehäusematerial: Weißgold Armbandmaterial: Leder,Weißgold Armbandmaterial: Leder Armbandfarbe: Blau Zifferbla,Weiß Referenznummer: MV045226 Uhrwerk: Quarz Originale Baume,Leder Armbandfarbe: Blau Zifferblattfarbe: Weiß Referenznumm,Quarz,Quarz Originale Baume & Mercier Papiere ( Die Garantiekarte,Sehr gut,Full Set (Box & Papiere),Damen,HV-408
omega-seamaster-planet-ocean-39-5-mm-p406,"Omega Seamaster Planet Ocean 39,5 mm",Titel,Einzelstück,MG-PLN-CN-39,4450.00,215.30.40.20.03.001,2020,"39,5 mm",Edelstahl,Blau,Edelstahl,Automatik,Omega 8800 Kaliber,Gut,Full Set (Box & Papiere),Herren,HV-406
hublot-faltschliesse-18-k-rotgold-20-mm-p300,Hublot Faltschließe 18 K Rotgold · 20 mm,Titel,Einzelstück,XN-HBL-FLT-AUS,2290.00,,,,,,,,,,Nur Uhr,,HV-300
iwc-fliegerchronograph-automatik-zb-schwarz-p292,IWC Fliegerchronograph Automatik ZB Schwarz,Titel,Einzelstück,IWC-FLG-W37-TMT,3290.00,IW377701,2014,43 mm,Edelstahl,Schwarz,Edelstahl,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Gut,Nur Uhr,Herren,HV-292
omega-seamaster-planet-ocean-45-mm-p334,Omega Seamaster Planet Ocean 45 mm,Titel,Einzelstück,HV-P334,2990.00,2200.50.00,,45 mm,Edelstahl,Schwarz,Edelstahl,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Sehr gut,Nur Box,Herren,HV-334
tag-heuer-link-chronograph-limitiert-auf-150-stueck-p398,Tag Heuer Link Chronograph — limitiert auf 150 Stück,Titel,Einzelstück,XN-TAG-HR-LNK,1890.00,CJF211E,2013,41 mm,Edelstahl,Schwarz,Edelstahl,Automatik,Automatik (Calibre 16),Gut,Nur Papiere,Herren,HV-398
tag-heuer-carrera-chronograph-p298,Tag Heuer Carrera Chronograph,Titel,Einzelstück,TAG-HR-CRR-CHR,1590.00,CV2010,2008,41 mm,Edelstahl,Schwarz,Edelstahl,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Gut,Full Set (Box & Papiere),Herren,HV-298
bvlgari-octo-finissimo-chronograph-gmt-p185,Bvlgari Octo Finissimo Chronograph GMT,Titel,Einzelstück,HV-P185,11990.00,103068,2022,42 mm (Oktogonal) Baujahr: 2022 Gehäusematerial: Titan Armban,Titan Armbandmaterial: Titan Armbandfarbe: Dunkelgrau Ziffer,Grau Referenznummer: 103068 Uhrwerk: Automatik (Platinrotor),Titan Armbandfarbe: Dunkelgrau Zifferblattfarbe: Grau Refere,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Sehr gut,Full Set (Box & Papiere),Herren,HV-185
tag-heuer-link-chronograph-automatik-p366,TAG Heuer Link Chronograph Automatik,Titel,Einzelstück,HV-P366,1550.00,CJF2111,,42 mm,Edelstahl,"Weiß (Außenring leichte Schäden, siehe Bilder)",Edelstahl,Automatik,,Sehr gut,Nur Uhr,Herren,HV-366
panerai-luminor-marina-handaufzug-2016-p399,Panerai Luminor Marina Handaufzug 2016,Titel,Einzelstück,PNR-LMN-MRN-PM0,3990.00,PAM00632,2016,44 mm,Edelstahl,Schwarz,Leder / Kautschuk,Handaufzug,,Gut,Full Set (Box & Papiere),Herren,HV-399
tag-heuer-carrera-gmt-big-date-p263,TAG Heuer Carrera GMT big date,Titel,Einzelstück,HV-P263,1890.00,WAR201Z,,41,Edelstahl,Grau,Edelstahl,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Sehr gut,Nur Uhr,Herren,HV-263
omega-planet-ocean-42-mm-p223,Omega Planet Ocean 42 mm,Titel,Einzelstück,HV-P223,3390.00,2201.51.00,2009,42 mm,Edelstahl,Schwarz,Edelstahl,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Gut,Full Set (Box & Papiere),Herren,HV-223
tag-heuer-carrera-chronograph-p246,Tag Heuer Carrera Chronograph,Titel,Einzelstück,TAG-HR-CRR-CHR1,1890.00,CV2010,2007,41 mm,Edelstahl,Schwarz,Edelstahl,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Sehr gut,Full Set (Box & Papiere),Herren,HV-246
rolex-datejust-41-schwarzes-zifferblatt-p393,"Rolex Datejust 41, schwarzes Zifferblatt",Titel,Einzelstück,RLX-DTJ-41-ZB2,9900.00,126300,2026,41 mm,Edelstahl,Schwarz,Edelstahl,Automatik,,Neu,Full Set (Box & Papiere),Herren,HV-393
breitling-chronomat-burgundy-dial-p335,Breitling Chronomat Burgundy Dial,Titel,Einzelstück,HV-P335,2190.00,B13047,,39 mm,Edelstahl,Burgundy Dial,Leder,,"Geprüft auf einwandfreies Laufverhalten, kein anstehender Se",Gut,Nur Papiere,Herren,HV-335
omega-planet-ocean-p384,Omega Planet Ocean,Titel,Einzelstück,MG-PLN-CN-232,4890.00,232.90.46.51.03.001,2014,"45,5 mm",Titan,Blau,Titan,Automatik,Automatik 9300 Kaliber,Gut,Full Set (Box & Papiere),Herren,HV-384
omega-seamaster-planet-ocean-43-5-mm-p283,"Omega Seamaster Planet Ocean 43,5 mm",Titel,Einzelstück,MG-PLN-CN-43,4190.00,215.30.44.21.03.001,2018,"43,5 mm",Edelstahl,Blau,Edelstahl,Automatik,Omega Co-Axial,Sehr gut,Full Set (Box & Papiere),Herren,HV-283
omega-seamaster-aqua-terra-gmt-p395,Omega Seamaster Aqua Terra GMT,Titel,Einzelstück,HV-P395,3950.00,231.10.43.22.03.001,,43 mm,Edelstahl,Blau,Leder (guter Zustand),Automatik,Automatik (Manufakturkaliber),Sehr gut,Nur Uhr,Herren,HV-395
tag-heuer-carrera-calibre-16-chronograph-p350,TAG Heuer Carrera Calibre 16 Chronograph,Titel,Einzelstück,HV-P350,2990.00,CBM2110.BA065,,41 mm,Edelstahl,Schwarz,Edelstahl,Automatik,,Sehr gut,Nur Uhr,Herren,HV-350
iwc-portofino-37-automatic-diamond-dial-p357,IWC Portofino 37 Automatic Diamond Dial,Titel,Einzelstück,IWC-PRT-37-TMT,3190.00,IW458101,2021,37 mm,Edelstahl,Silber,Leder,Automatik,,Sehr gut,Full Set (Box & Papiere),Herren,HV-357
